Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1988-08-31,37.25,37.75,37.12,37.62,240200.0,0.0,1.0,2.5410295088873,2.57513728753,2.5321614864401,2.5662692650829,960800.0
1988-09-01,37.75,37.75,37.25,37.38,272500.0,0.0,1.0,2.57513728753,2.57513728753,2.5410295088873,2.5498975313344,1090000.0
1988-09-02,37.75,38.62,37.75,38.5,436300.0,0.0,1.0,2.57513728753,2.6344848223685,2.57513728753,2.6262989554942,1745200.0
1988-09-06,38.5,38.62,38.25,38.62,250000.0,0.0,1.0,2.6262989554942,2.6344848223685,2.6092450661728,2.6344848223685,1000000.0
1988-09-07,38.75,38.88,38.62,38.75,415900.0,0.0,1.0,2.6433528448156,2.6522208672627,2.6344848223685,2.6433528448156,1663600.0
1988-09-08,38.62,38.88,38.38,38.75,287200.0,0.0,1.0,2.6344848223685,2.6522208672627,2.6181130886199,2.6433528448156,1148800.0
1988-09-09,38.5,39.25,38.5,39.12,607500.0,0.0,1.0,2.6262989554942,2.6774606234584,2.6262989554942,2.6685926010113,2430000.0
1988-09-12,39.25,39.25,38.62,38.62,198800.0,0.0,1.0,2.6774606234584,2.6774606234584,2.6344848223685,2.6344848223685,795200.0
1988-09-13,38.5,39.12,38.25,39.12,382700.0,0.0,1.0,2.6262989554942,2.6685926010113,2.6092450661728,2.6685926010113,1530800.0
1988-09-14,39.25,39.5,38.88,39.12,415800.0,0.0,1.0,2.6774606234584,2.6945145127798,2.6522208672627,2.6685926010113,1663200.0
1988-09-15,39.12,39.38,39.0,39.38,334600.0,0.0,1.0,2.6685926010113,2.6863286459055,2.660406734137,2.6863286459055,1338400.0
1988-09-16,38.88,39.62,38.88,39.5,455100.0,0.0,1.0,2.6522208672627,2.702700379654,2.6522208672627,2.6945145127798,1820400.0
1988-09-19,39.5,39.5,39.0,39.38,198900.0,0.0,1.0,2.6945145127798,2.6945145127798,2.660406734137,2.6863286459055,795600.0
1988-09-20,39.38,39.38,39.12,39.25,412200.0,0.0,1.0,2.6863286459055,2.6863286459055,2.6685926010113,2.6774606234584,1648800.0
1988-09-21,39.5,39.62,39.25,39.5,260200.0,0.0,1.0,2.6945145127798,2.702700379654,2.6774606234584,2.6945145127798,1040800.0
1988-09-22,39.62,39.62,39.25,39.5,632200.0,0.0,1.0,2.702700379654,2.702700379654,2.6774606234584,2.6945145127798,2528800.0
1988-09-23,39.25,39.62,39.25,39.38,388300.0,0.0,1.0,2.6774606234584,2.702700379654,2.6774606234584,2.6863286459055,1553200.0
1988-09-26,39.38,39.62,39.25,39.38,225800.0,0.0,1.0,2.6863286459055,2.702700379654,2.6774606234584,2.6863286459055,903200.0
