Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;13/1/16;40.16;40.45;38.83;38.85;3621485.0;0.0;1.0;40.16;40.45;38.83;38.85;3621485.0
T Mobile;12/1/16;39.83;40.12;39.38;40.06;3859037.0;0.0;1.0;39.83;40.12;39.38;40.06;3859037.0
T Mobile;11/1/16;39.96;39.98;39.17;39.68;3893059.0;0.0;1.0;39.96;39.98;39.17;39.68;3893059.0
T Mobile;8/1/16;40.86;41.23;39.78;39.88;3512924.0;0.0;1.0;40.86;41.23;39.78;39.88;3512924.0
T Mobile;7/1/16;39.38;40.68;39.27;40.51;8091327.0;0.0;1.0;39.38;40.68;39.27;40.51;8091327.0
T Mobile;6/1/16;39.56;40.38;39.33;40.05;7243778.0;0.0;1.0;39.56;40.38;39.33;40.05;7243778.0
T Mobile;5/1/16;38.9;40.5;38.76;40.22;5554070.0;0.0;1.0;38.9;40.5;38.76;40.22;5554070.0
T Mobile;4/1/16;38.86;39.02;38.46;38.95;4614241.0;0.0;1.0;38.86;39.02;38.46;38.95;4614241.0
T Mobile;31/12/15;39.53;396.978;38.73;39.12;3640748.0;0.0;1.0;39.53;396.978;38.73;39.12;3640748.0
T Mobile;30/12/15;40.05;40.05;395.299;39.74;2650006.0;0.0;1.0;40.05;40.05;395.299;39.74;2650006.0
T Mobile;29/12/15;39.9;40.22;39.6;40.12;1664039.0;0.0;1.0;39.9;40.22;39.6;40.12;1664039.0
T Mobile;28/12/15;39.56;39.83;39.35;39.78;1310978.0;0.0;1.0;39.56;39.83;39.35;39.78;1310978.0
T Mobile;24/12/15;40.2;40.25;39.65;39.67;882270.0;0.0;1.0;40.2;40.25;39.65;39.67;882270.0
T Mobile;23/12/15;39.49;40.35;39.31;40.13;2693484.0;0.0;1.0;39.49;40.35;39.31;40.13;2693484.0
T Mobile;22/12/15;38.99;39.41;38.36;39.26;2642776.0;0.0;1.0;38.99;39.41;38.36;39.26;2642776.0
T Mobile;21/12/15;38.04;38.98;37.8;38.98;3865303.0;0.0;1.0;38.04;38.98;37.8;38.98;3865303.0
T Mobile;18/12/15;39.0;39.28;37.63;37.89;26892597.0;0.0;1.0;39.0;39.28;37.63;37.89;26892597.0
T Mobile;17/12/15;39.18;39.76;39.0;39.2;4869448.0;0.0;1.0;39.18;39.76;39.0;39.2;4869448.0
T Mobile;16/12/15;38.32;39.25;38.12;39.13;4712743.0;0.0;1.0;38.32;39.25;38.12;39.13;4712743.0
T Mobile;15/12/15;36.58;38.355;36.56;38.16;5585643.0;0.0;1.0;36.58;38.355;36.56;38.16;5585643.0
T Mobile;14/12/15;36.0;36.68;35.845;36.52;4805364.0;0.0;1.0;36.0;36.68;35.845;36.52;4805364.0
T Mobile;11/12/15;35.96;36.47;35.79;36.0;5009786.0;0.0;1.0;35.96;36.47;35.79;36.0;5009786.0
T Mobile;10/12/15;36.25;36.695;36.05;36.34;2494611.0;0.0;1.0;36.25;36.695;36.05;36.34;2494611.0
T Mobile;9/12/15;36.43;36.89;35.73;36.07;7115915.0;0.0;1.0;36.43;36.89;35.73;36.07;7115915.0
T Mobile;8/12/15;36.66;37.22;36.31;36.89;5038082.0;0.0;1.0;36.66;37.22;36.31;36.89;5038082.0
T Mobile;7/12/15;35.22;37.5;35.22;36.59;5173389.0;0.0;1.0;35.22;37.5;35.22;36.59;5173389.0
T Mobile;4/12/15;34.5;35.53;34.47;35.45;4572296.0;0.0;1.0;34.5;35.53;34.47;35.45;4572296.0
T Mobile;3/12/15;35.53;35.865;34.245;34.56;5214675.0;0.0;1.0;35.53;35.865;34.245;34.56;5214675.0
T Mobile;2/12/15;36.29;36.4;35.7;35.72;2817108.0;0.0;1.0;36.29;36.4;35.7;35.72;2817108.0
T Mobile;1/12/15;35.86;36.41;35.03;36.18;5516399.0;0.0;1.0;35.86;36.41;35.03;36.18;5516399.0
T Mobile;30/11/15;36.71;36.8;35.48;35.5;7733080.0;0.0;1.0;36.71;36.8;35.48;35.5;7733080.0
T Mobile;27/11/15;37.1;37.11;36.52;36.89;1474576.0;0.0;1.0;37.1;37.11;36.52;36.89;1474576.0
